"Kinase","Substrate","Group"
"PRKY","GRIA1","AGC"
"MAPK6","LIFR","CMGC"
"MAPK4","LIFR","CMGC"
"MAPK8","LIFR","CMGC"
"MAPK9","LIFR","CMGC"
"MAPK10","LIFR","CMGC"
"NLK","LIFR","CMGC"
"MAPK14","LIFR","CMGC"
"MAPK11","LIFR","CMGC"
"MAPK12","LIFR","CMGC"
"MAPK13","LIFR","CMGC"
"MAPK7","LIFR","CMGC"
"MAPK15","LIFR","CMGC"
"AKT2","MAP2K4","AGC"
"AKT3","MAP2K4","AGC"
"PHKG1","PHKA1","CAMK"
"PHKG2","PHKA1","CAMK"
"PRKACB","RAP1GAP","AGC"
"PRKACG","RAP1GAP","AGC"
"PRKX","RAP1GAP","AGC"
"PRKY","RAP1GAP","AGC"
"GSK3B","RAP1GAP","CMGC"
"PRKCD","KCNJ4","AGC"
"PRKCH","GRIA4","AGC"
"PRKCB","GRIA4","AGC"
"PRKCD","GRIA4","AGC"
"PRKCE","GRIA4","AGC"
"PRKCI","GRIA4","AGC"
"PRKCQ","GRIA4","AGC"
"PRKCZ","GRIA4","AGC"
"PRKACB","GRIA4","AGC"
"PRKACG","GRIA4","AGC"
"PRKX","GRIA4","AGC"
"PRKY","GRIA4","AGC"
"CSNK2A3","RGS19","CMGC"
"PRKCH","RGS19","AGC"
"PRKCB","RGS19","AGC"
"PRKCD","RGS19","AGC"
"PRKCE","RGS19","AGC"
"PRKCG","RGS19","AGC"
"PRKCI","RGS19","AGC"
"PRKCQ","RGS19","AGC"
"PRKCZ","RGS19","AGC"
"CSNK1E","PSEN2","CK1"
"CSNK1G2","PSEN2","CK1"
"CSNK1G3","PSEN2","CK1"
"CSNK1A1L","PSEN2","CK1"
"CSNK1G1","PSEN2","CK1"
"CSNK2A2","PSEN2","CMGC"
"CSNK2A3","PSEN2","CMGC"
"PRKACB","GSK3A","AGC"
"PRKACG","GSK3A","AGC"
"PRKX","GSK3A","AGC"
"PRKY","GSK3A","AGC"
"AKT2","GSK3A","AGC"
"AKT3","GSK3A","AGC"
"PRKCE","GSK3A","AGC"
"PRKCI","GSK3A","AGC"
"PRKCQ","GSK3A","AGC"
"PRKCZ","GSK3A","AGC"
"GRK4","CCR5","AGC"
"GRK5","CCR5","AGC"
"GRK6","CCR5","AGC"
"GRK1","CCR5","AGC"
"GRK7","CCR5","AGC"
"PRKCH","XK","AGC"
"PRKCA","XK","AGC"
"PRKCB","XK","AGC"
"PRKCD","XK","AGC"
"PRKCE","XK","AGC"
"PRKCG","XK","AGC"
"PRKCI","XK","AGC"
"PRKCQ","XK","AGC"
"PRKCZ","XK","AGC"
"CSNK2A1","XK","CMGC"
"CSNK2A2","XK","CMGC"
"CSNK2A3","XK","CMGC"
"CSNK2A3","GTF2A1","CMGC"
"PRKACB","THOP1","AGC"
"PRKACG","THOP1","AGC"
"PRKX","THOP1","AGC"
"PRKY","THOP1","AGC"
"RPS6KA5","DAPK1","AGC"
"RPS6KA4","DAPK1","AGC"
"RPS6KB1","DAPK1","AGC"
"RPS6KB2","DAPK1","AGC"
"RPS6KA2","DAPK1","AGC"
"RPS6KA6","DAPK1","AGC"
"DAPK2","DAPK1","CAMK"
"STK17A","DAPK1","CAMK"
"STK17B","DAPK1","CAMK"
"DAPK3","DAPK1","CAMK"
"GSK3A","ACLY","CMGC"
"PRKACB","ACLY","AGC"
"PRKACG","ACLY","AGC"
"PRKX","ACLY","AGC"
"PRKY","ACLY","AGC"
"ROCK2","LIMK1","AGC"
"MAPK6","RCAN1","CMGC"
"MAPK4","RCAN1","CMGC"
"MAPK8","RCAN1","CMGC"
"MAPK9","RCAN1","CMGC"
"MAPK10","RCAN1","CMGC"
"NLK","RCAN1","CMGC"
"MAPK14","RCAN1","CMGC"
"MAPK11","RCAN1","CMGC"
"MAPK12","RCAN1","CMGC"
"MAPK13","RCAN1","CMGC"
"MAPK7","RCAN1","CMGC"
"MAPK15","RCAN1","CMGC"
"GSK3A","RCAN1","CMGC"
"PRKAA1","PRKAA2","CAMK"
"PRKAA2","PRKAA2","CAMK"
"CSNK2A3","AQP4","CMGC"
"CSNK1D","BID","CK1"
"CSNK1G2","BID","CK1"
"CSNK1G3","BID","CK1"
"CSNK1A1L","BID","CK1"
"CSNK1G1","BID","CK1"
"CSNK2A3","BID","CMGC"
"PRKACB","ASIC1","AGC"
"PRKACG","ASIC1","AGC"
"PRKX","ASIC1","AGC"
"PRKY","ASIC1","AGC"
"PRKCH","DAB2","AGC"
"PRKCA","DAB2","AGC"
"PRKCE","DAB2","AGC"
"PRKCI","DAB2","AGC"
"PRKCQ","DAB2","AGC"
"PRKCZ","DAB2","AGC"
"CAMK2B","HSF1","CAMK"
"CAMK2G","HSF1","CAMK"
"CSNK2A3","HSF1","CMGC"
"MAPK9","HSF1","CMGC"
"MAPK10","HSF1","CMGC"
"MAPK6","HSF1","CMGC"
"MAPK4","HSF1","CMGC"
"NLK","HSF1","CMGC"
"MAPK7","HSF1","CMGC"
"MAPK15","HSF1","CMGC"
"PRKCH","EWSR1","AGC"
"PRKCD","EWSR1","AGC"
"PRKCE","EWSR1","AGC"
"PRKCG","EWSR1","AGC"
"PRKCI","EWSR1","AGC"
"PRKCQ","EWSR1","AGC"
"PRKCZ","EWSR1","AGC"
"CSNK2A3","SPIB","CMGC"
"PRKACB","PLCB3","AGC"
"PRKACG","PLCB3","AGC"
"PRKX","PLCB3","AGC"
"PRKY","PLCB3","AGC"
"CAMK2D","PLCB3","CAMK"
"PRKCH","TAGLN","AGC"
"PRKCB","TAGLN","AGC"
"PRKCE","TAGLN","AGC"
"PRKCG","TAGLN","AGC"
"PRKCI","TAGLN","AGC"
"PRKCQ","TAGLN","AGC"
"PRKCZ","TAGLN","AGC"
"CSNK2A2","MEF2A","CMGC"
"CSNK2A3","MEF2A","CMGC"
"PRKACB","LIPE","AGC"
"PRKACG","LIPE","AGC"
"PRKX","LIPE","AGC"
"PRKY","LIPE","AGC"
"PRKAA2","LIPE","CAMK"
"CSNK1D","SLC18A2","CK1"
"CSNK1E","SLC18A2","CK1"
"CSNK1G2","SLC18A2","CK1"
"CSNK1G3","SLC18A2","CK1"
"CSNK1A1L","SLC18A2","CK1"
"CSNK1G1","SLC18A2","CK1"
"CSNK2A3","SLC18A2","CMGC"
"PRKACB","GFPT1","AGC"
"PRKACG","GFPT1","AGC"
"PRKX","GFPT1","AGC"
"PRKY","GFPT1","AGC"
"PRKCH","APLP2","AGC"
"PRKCB","APLP2","AGC"
"PRKCD","APLP2","AGC"
"PRKCE","APLP2","AGC"
"PRKCG","APLP2","AGC"
"PRKCI","APLP2","AGC"
"PRKCQ","APLP2","AGC"
"PRKCZ","APLP2","AGC"
"PRKACB","PDE4B","AGC"
"PRKACG","PDE4B","AGC"
"PRKX","PDE4B","AGC"
"PRKY","PDE4B","AGC"
"PRKACB","CACNB2","AGC"
"PRKACG","CACNB2","AGC"
"PRKX","CACNB2","AGC"
"PRKY","CACNB2","AGC"
"PRKACB","DMTN","AGC"
"PRKACG","DMTN","AGC"
"PRKX","DMTN","AGC"
"PRKY","DMTN","AGC"
"PRKACB","CETN1","AGC"
"PRKACG","CETN1","AGC"
"PRKX","CETN1","AGC"
"PRKY","CETN1","AGC"
"PRKACB","KCNH2","AGC"
"PRKACG","KCNH2","AGC"
"PRKX","KCNH2","AGC"
"PRKY","KCNH2","AGC"
"CSNK2A3","PPP1R8","CMGC"
"PRKACB","PPP1R8","AGC"
"PRKACG","PPP1R8","AGC"
"PRKX","PPP1R8","AGC"
"PRKY","PPP1R8","AGC"
"CAMK1G","ACACA","CAMK"
"CAMK1","ACACA","CAMK"
"CAMK4","ACACA","CAMK"
"CAMK1D","ACACA","CAMK"
"PNCK","ACACA","CAMK"
"CSNK2A3","ACACA","CMGC"
"PRKAA2","PRKAA1","CAMK"
"PRKCH","GRM1","AGC"
"PRKCB","GRM1","AGC"
"PRKCD","GRM1","AGC"
"PRKCE","GRM1","AGC"
"PRKCG","GRM1","AGC"
"PRKCI","GRM1","AGC"
"PRKCQ","GRM1","AGC"
"PRKCZ","GRM1","AGC"
"PRKACB","PDE3B","AGC"
"PRKACG","PDE3B","AGC"
"PRKX","PDE3B","AGC"
"PRKY","PDE3B","AGC"
"PRKCH","KLF5","AGC"
"PRKCA","KLF5","AGC"
"PRKCB","KLF5","AGC"
"PRKCE","KLF5","AGC"
"PRKCG","KLF5","AGC"
"PRKCI","KLF5","AGC"
"PRKCQ","KLF5","AGC"
"PRKCZ","KLF5","AGC"
"CAMK1G","CAMK1","CAMK"
"CAMK4","CAMK1","CAMK"
"CAMK1D","CAMK1","CAMK"
"PNCK","CAMK1","CAMK"
"PRKACB","HNRNPD","AGC"
"PRKACG","HNRNPD","AGC"
"PRKX","HNRNPD","AGC"
"PRKY","HNRNPD","AGC"
"PRKACB","GNA13","AGC"
"PRKACG","GNA13","AGC"
"PRKX","GNA13","AGC"
"PRKY","GNA13","AGC"
"PRKCH","HES1","AGC"
"PRKCB","HES1","AGC"
"PRKCD","HES1","AGC"
"PRKCE","HES1","AGC"
"PRKCG","HES1","AGC"
"PRKCI","HES1","AGC"
"PRKCQ","HES1","AGC"
"PRKCZ","HES1","AGC"
"PRKACB","LASP1","AGC"
"PRKACG","LASP1","AGC"
"PRKX","LASP1","AGC"
"PRKY","LASP1","AGC"
"PRKACB","NOLC1","AGC"
"PRKACG","NOLC1","AGC"
"PRKX","NOLC1","AGC"
"PRKY","NOLC1","AGC"
"PRKCH","NCF4","AGC"
"PRKCB","NCF4","AGC"
"PRKCE","NCF4","AGC"
"PRKCG","NCF4","AGC"
"PRKCI","NCF4","AGC"
"PRKCQ","NCF4","AGC"
"PRKCZ","NCF4","AGC"
"PRKCB","PRKD1","AGC"
"PRKCG","PRKD1","AGC"
"PRKCI","PRKD1","AGC"
"PRKCQ","PRKD1","AGC"
"PRKCH","CYTH1","AGC"
"PRKCA","CYTH1","AGC"
"PRKCB","CYTH1","AGC"
"PRKCE","CYTH1","AGC"
"PRKCG","CYTH1","AGC"
"PRKCI","CYTH1","AGC"
"PRKCQ","CYTH1","AGC"
"PRKCZ","CYTH1","AGC"
"MAPK3","CEBPE","CMGC"
"MAPK1","CEBPE","CMGC"
"MAPK6","CEBPE","CMGC"
"MAPK4","CEBPE","CMGC"
"MAPK8","CEBPE","CMGC"
"MAPK9","CEBPE","CMGC"
"MAPK10","CEBPE","CMGC"
"NLK","CEBPE","CMGC"
"MAPK14","CEBPE","CMGC"
"MAPK11","CEBPE","CMGC"
"MAPK12","CEBPE","CMGC"
"MAPK13","CEBPE","CMGC"
"MAPK7","CEBPE","CMGC"
"MAPK15","CEBPE","CMGC"
"PRKACB","MYLK","AGC"
"PRKACG","MYLK","AGC"
"PRKX","MYLK","AGC"
"PRKY","MYLK","AGC"
"GSK3A","MYLK","CMGC"
"MAPK6","MYLK","CMGC"
"MAPK4","MYLK","CMGC"
"MAPK8","MYLK","CMGC"
"MAPK9","MYLK","CMGC"
"MAPK10","MYLK","CMGC"
"NLK","MYLK","CMGC"
"MAPK11","MYLK","CMGC"
"MAPK12","MYLK","CMGC"
"MAPK13","MYLK","CMGC"
"MAPK7","MYLK","CMGC"
"MAPK15","MYLK","CMGC"
"CAMK2A","VPS72","CAMK"
"CAMK2B","VPS72","CAMK"
"CAMK2G","VPS72","CAMK"
"CAMK2D","VPS72","CAMK"
"CSNK2A1","VPS72","CMGC"
"CSNK2A2","VPS72","CMGC"
"CSNK2A3","VPS72","CMGC"
"PRKCH","VPS72","AGC"
"PRKCA","VPS72","AGC"
"PRKCB","VPS72","AGC"
"PRKCD","VPS72","AGC"
"PRKCE","VPS72","AGC"
"PRKCG","VPS72","AGC"
"PRKCI","VPS72","AGC"
"PRKCQ","VPS72","AGC"
"PRKCZ","VPS72","AGC"
"PRKCH","NFE2L2","AGC"
"PRKCE","NFE2L2","AGC"
"PRKCG","NFE2L2","AGC"
"PRKCQ","NFE2L2","AGC"
"DAPK2","STX1A","CAMK"
"STK17A","STX1A","CAMK"
"STK17B","STX1A","CAMK"
"DAPK3","STX1A","CAMK"
"CSNK2A3","STX1A","CMGC"
"CSNK2A2","OCLN","CMGC"
"CSNK2A3","OCLN","CMGC"
"PRKCD","OCLN","AGC"
"PRKCI","OCLN","AGC"
"PRKCQ","OCLN","AGC"
"PRKCH","FSCN1","AGC"
"PRKCB","FSCN1","AGC"
"PRKCE","FSCN1","AGC"
"PRKCG","FSCN1","AGC"
"PRKCI","FSCN1","AGC"
"PRKCQ","FSCN1","AGC"
"PRKCZ","FSCN1","AGC"
"CSNK2A2","IFI16","CMGC"
"CSNK2A3","IFI16","CMGC"
"PRKCH","MEP1B","AGC"
"PRKCA","MEP1B","AGC"
"PRKCB","MEP1B","AGC"
"PRKCE","MEP1B","AGC"
"PRKCG","MEP1B","AGC"
"PRKCI","MEP1B","AGC"
"PRKCQ","MEP1B","AGC"
"PRKCZ","MEP1B","AGC"
"PRKACA","PPP1R3A","AGC"
"PRKACB","PPP1R3A","AGC"
"PRKACG","PPP1R3A","AGC"
"PRKX","PPP1R3A","AGC"
"PRKY","PPP1R3A","AGC"
"CSNK2A2","PACS1","CMGC"
"CSNK2A3","PACS1","CMGC"
"PRKACB","SLC4A4","AGC"
"PRKACG","SLC4A4","AGC"
"PRKX","SLC4A4","AGC"
"PRKY","SLC4A4","AGC"
"PRKCH","NRGN","AGC"
"PRKCD","NRGN","AGC"
"PRKCE","NRGN","AGC"
"PRKCI","NRGN","AGC"
"PRKCQ","NRGN","AGC"
"PRKCZ","NRGN","AGC"
"PRKACB","RYR2","AGC"
"PRKACG","RYR2","AGC"
"PRKX","RYR2","AGC"
"PRKY","RYR2","AGC"
"PRKACB","SYN2","AGC"
"PRKACG","SYN2","AGC"
"PRKX","SYN2","AGC"
"PRKY","SYN2","AGC"
"PRKACB","CUL5","AGC"
"PRKACG","CUL5","AGC"
"PRKX","CUL5","AGC"
"PRKY","CUL5","AGC"
"PRKACB","PPP1R9B","AGC"
"PRKACG","PPP1R9B","AGC"
"PRKX","PPP1R9B","AGC"
"PRKY","PPP1R9B","AGC"
"PRKCH","CYTH2","AGC"
"PRKCD","CYTH2","AGC"
"PRKCE","CYTH2","AGC"
"PRKCI","CYTH2","AGC"
"PRKCQ","CYTH2","AGC"
"PRKCZ","CYTH2","AGC"
"PRKCH","PLCB1","AGC"
"PRKCB","PLCB1","AGC"
"PRKCE","PLCB1","AGC"
"PRKCG","PLCB1","AGC"
"PRKCI","PLCB1","AGC"
"PRKCQ","PLCB1","AGC"
"PRKCZ","PLCB1","AGC"
"CSNK2A3","TCF7L2","CMGC"
"CSNK2A2","RNF7","CMGC"
"CSNK2A3","RNF7","CMGC"
"MAPK11","PPARGC1A","CMGC"
"MAPK12","PPARGC1A","CMGC"
"MAPK13","PPARGC1A","CMGC"
"PRKCH","ADD3","AGC"
"PRKCB","ADD3","AGC"
"PRKCD","ADD3","AGC"
"PRKCE","ADD3","AGC"
"PRKCG","ADD3","AGC"
"PRKCI","ADD3","AGC"
"PRKCQ","ADD3","AGC"
"PRKCZ","ADD3","AGC"
"PRKCH","HSPB8","AGC"
"PRKCB","HSPB8","AGC"
"PRKCD","HSPB8","AGC"
"PRKCE","HSPB8","AGC"
"PRKCG","HSPB8","AGC"
"PRKCI","HSPB8","AGC"
"PRKCQ","HSPB8","AGC"
"PRKCZ","HSPB8","AGC"
"CDK7","FZR1","CMGC"
"CDK1","FZR1","CMGC"
"CDK3","FZR1","CMGC"
"CDK4","FZR1","CMGC"
"CDK6","FZR1","CMGC"
"CDK8","FZR1","CMGC"
"CDK13","FZR1","CMGC"
"CDK16","FZR1","CMGC"
"CDK17","FZR1","CMGC"
"CDK18","FZR1","CMGC"
"CDK14","FZR1","CMGC"
"CDK10","FZR1","CMGC"
"CDK9","FZR1","CMGC"
"CDK11B","FZR1","CMGC"
"CDK19","FZR1","CMGC"
"CDK15","FZR1","CMGC"
"CDK20","FZR1","CMGC"
"CDK12","FZR1","CMGC"
"CDK11A","FZR1","CMGC"
"CSNK2A3","GTF2A1L","CMGC"
"MAPK10","MAPK8IP1","CMGC"
"CSNK2A2","PIN4","CMGC"
"CSNK2A3","PIN4","CMGC"
"CSNK2A3","CTDP1","CMGC"
"PRKACB","HNRNPA1","AGC"
"PRKACG","HNRNPA1","AGC"
"PRKX","HNRNPA1","AGC"
"PRKY","HNRNPA1","AGC"
"CSNK2A2","HNRNPA1","CMGC"
"CSNK2A3","HNRNPA1","CMGC"
"SGK2","NDRG1","AGC"
"SGK3","NDRG1","AGC"
"RPS6KA5","RPTOR","AGC"
"RPS6KA4","RPTOR","AGC"
"RPS6KB1","RPTOR","AGC"
"RPS6KB2","RPTOR","AGC"
"RPS6KA2","RPTOR","AGC"
"RPS6KA6","RPTOR","AGC"
"PRKCA","MARK2","AGC"
"SGK2","CARHSP1","AGC"
"SGK3","CARHSP1","AGC"
"CSNK2A2","RNPS1","CMGC"
"CSNK2A3","RNPS1","CMGC"
"CSNK2A2","STC2","CMGC"
"CSNK2A3","STC2","CMGC"
"SGK2","BRAF","AGC"
"SGK3","BRAF","AGC"
"PRKACB","BRAF","AGC"
"PRKACG","BRAF","AGC"
"PRKX","BRAF","AGC"
"PRKY","BRAF","AGC"
"PRKACB","CTPS1","AGC"
"PRKACG","CTPS1","AGC"
"PRKX","CTPS1","AGC"
"PRKY","CTPS1","AGC"
"CHEK1","MCM4","CAMK"
"MAP3K19","MAP2K2","STE"
"AKT2","YAP1","AGC"
"AKT3","YAP1","AGC"
"CSNK2A2","SSRP1","CMGC"
"CSNK2A3","SSRP1","CMGC"
"AKT2","PIKFYVE","AGC"
"AKT3","PIKFYVE","AGC"
"SGK1","KCNJ1","AGC"
"SGK2","KCNJ1","AGC"
"SGK3","KCNJ1","AGC"
"PRKACB","CAMKK1","AGC"
"PRKACG","CAMKK1","AGC"
"PRKX","CAMKK1","AGC"
"PRKY","CAMKK1","AGC"
"DAPK2","CAMKK2","CAMK"
"STK17A","CAMKK2","CAMK"
"STK17B","CAMKK2","CAMK"
"DAPK3","CAMKK2","CAMK"
"PRKAA1","CASP6","CAMK"
"PRKAA2","CASP6","CAMK"
"PRKACB","PPP1R14A","AGC"
"PRKACG","PPP1R14A","AGC"
"PRKX","PPP1R14A","AGC"
"PRKY","PPP1R14A","AGC"
"CSNK2A3","CCNH","CMGC"
"PRKACB","NEDD4L","AGC"
"PRKACG","NEDD4L","AGC"
"PRKX","NEDD4L","AGC"
"PRKY","NEDD4L","AGC"
"SGK2","NEDD4L","AGC"
"CSNK2A2","GMFB","CMGC"
"CSNK2A3","GMFB","CMGC"
"PRKACB","GMFB","AGC"
"PRKACG","GMFB","AGC"
"PRKX","GMFB","AGC"
"PRKY","GMFB","AGC"
"RPS6KA5","GMFB","AGC"
"RPS6KA4","GMFB","AGC"
"RPS6KB1","GMFB","AGC"
"RPS6KB2","GMFB","AGC"
"RPS6KA2","GMFB","AGC"
"RPS6KA3","GMFB","AGC"
"RPS6KA6","GMFB","AGC"
"CSNK2A2","ANP32A","CMGC"
"CSNK2A3","ANP32A","CMGC"
"PRKACB","NF2","AGC"
"PRKACG","NF2","AGC"
"PRKX","NF2","AGC"
"PRKY","NF2","AGC"
"PAK3","NF2","STE"
"PAK6","NF2","STE"
"PAK4","NF2","STE"
"PAK7","NF2","STE"
"PRKACB","FXYD1","AGC"
"PRKACG","FXYD1","AGC"
"PRKX","FXYD1","AGC"
"PRKY","FXYD1","AGC"
"ABL1","PLSCR4","TK"
"CAMK2A","KCND2","CAMK"
"CAMK2B","KCND2","CAMK"
"CAMK2G","KCND2","CAMK"
"CAMK2D","KCND2","CAMK"
"AKT2","WNK1","AGC"
"AKT3","WNK1","AGC"
"PRKACB","TNNI3","AGC"
"PRKACG","TNNI3","AGC"
"PRKX","TNNI3","AGC"
"PRKY","TNNI3","AGC"
"AKT3","AKT1S1","AGC"
"MARK1","HDAC7","CAMK"
"MARK4","HDAC7","CAMK"
"AKT2","TBC1D4","AGC"
"AKT3","TBC1D4","AGC"
"CSNK2A2","PTGES3","CMGC"
"CSNK2A3","PTGES3","CMGC"
"PRKACB","PAH","AGC"
"PRKACG","PAH","AGC"
"PRKX","PAH","AGC"
"PRKY","PAH","AGC"
"PRKACB","GRK1","AGC"
"PRKACG","GRK1","AGC"
"PRKX","GRK1","AGC"
"PRKY","GRK1","AGC"
"CSNK2A2","EIF5","CMGC"
"CSNK2A3","EIF5","CMGC"
"AKT2","MAP3K11","AGC"
"AKT3","MAP3K11","AGC"
"CSNK2A3","SRPK1","CMGC"
"CSNK2A2","ERCC3","CMGC"
"CSNK2A3","ERCC3","CMGC"
"PRKAA2","PFKFB3","CAMK"
"CAMK1","CAMK4","CAMK"
"CSNK2A2","PKD2","CMGC"
"CSNK2A3","PKD2","CMGC"
"PRKACB","CETN2","AGC"
"PRKACG","CETN2","AGC"
"PRKX","CETN2","AGC"
"PRKY","CETN2","AGC"
"AKT3","XIAP","AGC"
"PRKACB","CAPN2","AGC"
"PRKACG","CAPN2","AGC"
"PRKX","CAPN2","AGC"
"PRKY","CAPN2","AGC"
"CSNK2A2","TFPI","CMGC"
"CSNK2A3","TFPI","CMGC"
"PRKACA","GFPT2","AGC"
"PRKACB","GFPT2","AGC"
"PRKACG","GFPT2","AGC"
"PRKX","GFPT2","AGC"
"PRKY","GFPT2","AGC"
"PRKACB","HRH1","AGC"
"PRKACG","HRH1","AGC"
"PRKX","HRH1","AGC"
"PRKY","HRH1","AGC"
"AKT2","ACAP1","AGC"
"AKT3","ACAP1","AGC"
"PRKACB","HDAC8","AGC"
"PRKACG","HDAC8","AGC"
"PRKX","HDAC8","AGC"
"PRKY","HDAC8","AGC"
"CSNK2A2","IGF2R","CMGC"
"CSNK2A3","IGF2R","CMGC"
"SGK2","NDRG2","AGC"
"SGK3","NDRG2","AGC"
"PRKACB","AKAP13","AGC"
"PRKACG","AKAP13","AGC"
"PRKX","AKAP13","AGC"
"PRKY","AKAP13","AGC"
"CSNK2A3","UBE2R2","CMGC"
"PRKACB","SUN2","AGC"
"PRKACG","SUN2","AGC"
"PRKX","SUN2","AGC"
"PRKY","SUN2","AGC"
"AKT2","ZFP36L1","AGC"
"AKT3","ZFP36L1","AGC"
"PRKCA","PITPNA","AGC"
"PRKACB","PTBP1","AGC"
"PRKACG","PTBP1","AGC"
"PRKX","PTBP1","AGC"
"PRKY","PTBP1","AGC"
"AKT2","PDCD4","AGC"
"AKT3","PDCD4","AGC"
"CSNK2A2","BIK","CMGC"
"CSNK2A3","BIK","CMGC"
"PRKCA","FGF2","AGC"
"PRKACB","FGF2","AGC"
"PRKACG","FGF2","AGC"
"PRKX","FGF2","AGC"
"PRKY","FGF2","AGC"
"CSNK2A3","XRCC1","CMGC"
"CSNK2A1","TCF4","CMGC"
"CSNK2A2","TCF4","CMGC"
"CSNK2A3","TCF4","CMGC"
"RPS6KA2","ATF4","AGC"
"PRKACB","STK24","AGC"
"PRKACG","STK24","AGC"
"PRKX","STK24","AGC"
"PRKY","STK24","AGC"
"PRKACA","PPP1R14D","AGC"
"PRKACB","PPP1R14D","AGC"
"PRKACG","PPP1R14D","AGC"
"PRKX","PPP1R14D","AGC"
"PRKY","PPP1R14D","AGC"
"PRKCA","PPP1R14D","AGC"
"CSNK2A2","PIP4K2A","CMGC"
"CSNK2A3","PIP4K2A","CMGC"
"PRKACB","GRK7","AGC"
"PRKACG","GRK7","AGC"
"PRKX","GRK7","AGC"
"PRKY","GRK7","AGC"
"AKT2","NUAK1","AGC"
"AKT3","NUAK1","AGC"
"PRKACB","SOX9","AGC"
"PRKACG","SOX9","AGC"
"PRKX","SOX9","AGC"
"PRKY","SOX9","AGC"
"RPS6KA5","NFATC4","AGC"
"RPS6KA4","NFATC4","AGC"
"RPS6KB1","NFATC4","AGC"
"RPS6KB2","NFATC4","AGC"
"RPS6KA2","NFATC4","AGC"
"RPS6KA1","NFATC4","AGC"
"RPS6KA6","NFATC4","AGC"
"PRKACA","NFE2L1","AGC"
"PRKACB","NFE2L1","AGC"
"PRKACG","NFE2L1","AGC"
"PRKX","NFE2L1","AGC"
"PRKY","NFE2L1","AGC"
"PRKACB","ETV5","AGC"
"PRKACG","ETV5","AGC"
"PRKX","ETV5","AGC"
"PRKY","ETV5","AGC"
"AKT2","GATA1","AGC"
"AKT3","GATA1","AGC"
"CSNK2A2","TLE1","CMGC"
"CSNK2A3","TLE1","CMGC"
"RPS6KA2","RRN3","AGC"
"PRKACB","RGS10","AGC"
"PRKACG","RGS10","AGC"
"PRKX","RGS10","AGC"
"PRKY","RGS10","AGC"
"PRKACB","RGS14","AGC"
"PRKACG","RGS14","AGC"
"PRKX","RGS14","AGC"
"PRKY","RGS14","AGC"
"PRKCH","SDC2","AGC"
"PRKCD","SDC2","AGC"
"PRKCE","SDC2","AGC"
"PRKCI","SDC2","AGC"
"PRKCQ","SDC2","AGC"
"PRKCZ","SDC2","AGC"
"PRKX","MYBPC3","AGC"
"PRKY","MYBPC3","AGC"
"PRKACB","DNM1L","AGC"
"PRKACG","DNM1L","AGC"
"PRKX","DNM1L","AGC"
"PRKY","DNM1L","AGC"
"PRKCH","AQP1","AGC"
"PRKCB","AQP1","AGC"
"PRKCD","AQP1","AGC"
"PRKCE","AQP1","AGC"
"PRKCG","AQP1","AGC"
"PRKCI","AQP1","AGC"
"PRKCQ","AQP1","AGC"
"PRKCZ","AQP1","AGC"
"PRKAA2","RAF1","CAMK"
"RPS6KA5","EEF2K","AGC"
"RPS6KA4","EEF2K","AGC"
"RPS6KA2","EEF2K","AGC"
"RPS6KA3","EEF2K","AGC"
"RPS6KA6","EEF2K","AGC"
"RPS6KA2","TP53","AGC"
"PRKACB","NOS1","AGC"
"PRKACG","NOS1","AGC"
"PRKX","NOS1","AGC"
"PRKY","NOS1","AGC"
"PRKCH","NOS1","AGC"
"PRKCB","NOS1","AGC"
"PRKCD","NOS1","AGC"
"PRKCE","NOS1","AGC"
"PRKCG","NOS1","AGC"
"PRKCI","NOS1","AGC"
"PRKCQ","NOS1","AGC"
"PRKCZ","NOS1","AGC"
"MAPK6","KRT8","CMGC"
"MAPK4","KRT8","CMGC"
"MAPK9","KRT8","CMGC"
"MAPK10","KRT8","CMGC"
"NLK","KRT8","CMGC"
"MAPK7","KRT8","CMGC"
"MAPK15","KRT8","CMGC"
"CAMK2A","KRT8","CAMK"
"CAMK2B","KRT8","CAMK"
"CAMK2G","KRT8","CAMK"
"CAMK2D","KRT8","CAMK"
"MAPK14","CREB1","CMGC"
"PRKACB","CREB1","AGC"
"PRKACG","CREB1","AGC"
"PRKX","CREB1","AGC"
"PRKY","CREB1","AGC"
"CDK7","BRCA1","CMGC"
"CDK3","BRCA1","CMGC"
"CDK5","BRCA1","CMGC"
"CDK6","BRCA1","CMGC"
"CDK8","BRCA1","CMGC"
"CDK13","BRCA1","CMGC"
"CDK16","BRCA1","CMGC"
"CDK17","BRCA1","CMGC"
"CDK18","BRCA1","CMGC"
"CDK14","BRCA1","CMGC"
"CDK10","BRCA1","CMGC"
"CDK9","BRCA1","CMGC"
"CDK11B","BRCA1","CMGC"
"CDK19","BRCA1","CMGC"
"CDK15","BRCA1","CMGC"
"CDK20","BRCA1","CMGC"
"CDK12","BRCA1","CMGC"
"CDK11A","BRCA1","CMGC"
"CDK7","JUN","CMGC"
"CDK2","JUN","CMGC"
"CDK4","JUN","CMGC"
"CDK5","JUN","CMGC"
"CDK6","JUN","CMGC"
"CDK8","JUN","CMGC"
"CDK13","JUN","CMGC"
"CDK16","JUN","CMGC"
"CDK17","JUN","CMGC"
"CDK18","JUN","CMGC"
"CDK14","JUN","CMGC"
"CDK10","JUN","CMGC"
"CDK9","JUN","CMGC"
