"Kinase","Substrate","Group"
"PRKCA","HNRNPA1","AGC"
"MAPK1","PARP1","CMGC"
"CAMK2A","ALOX5","CAMK"
"RPS6KA5","H2AC11","AGC"
"PINK1","UBC","OTHER"
"EGFR","CALM2","TK"
"INSR","CALM2","TK"
"EGFR","CALM3","TK"
"INSR","CALM3","TK"
"GSK3B","GLI2","CMGC"
"PRKACA","GLI3","AGC"
"AURKA","AR","OTHER"
"CDK7","AR","CMGC"
"CDK1","AR","CMGC"
"CDK5","AR","CMGC"
"FER","AR","TK"
"PAK1","ARAF","STE"
"MAPK14","BCL2","CMGC"
"PRKCD","NR2F6","AGC"
"CSNK1D","MAPT","CK1"
"TTBK1","MAPT","CK1"
"CHEK2","MAPT","CAMK"
"PHKG2","PYGM","CAMK"
"PHKG1","PYGM","CAMK"
"PRKCA","RALB","AGC"
"PRKCE","FGFR1","AGC"
"ABL1","TOP1","TK"
"PLK1","TOP2A","OTHER"
"PRKCD","G6PD","AGC"
"PLK1","G6PD","OTHER"
"SRC","CYP19A1","TK"
"PRKACA","IGF2R","AGC"
"CSNK2A1","IGF2R","CMGC"
"PRKAA1","PRPS2","CAMK"
"GSK3B","NEFH","CMGC"
"BCKDK","BCKDHA","ATYPICAL"
"PRKCD","SRC","AGC"
"PDGFRA","SRC","TK"
"GSK3A","UNG","CMGC"
"GSK3B","UNG","CMGC"
"CSNK2A1","CFTR","CMGC"
"CAMK2D","CEACAM1","CAMK"
"PRKCA","F3","AGC"
"MAPK14","F3","CMGC"
"GSK3A","GYS1","CMGC"
"CDK5","DRD2","CMGC"
"IRAK4","NCF1","TKL"
"PRKCA","NCF1","AGC"
"PRKCZ","NCF1","AGC"
"PIM2","PKM","CAMK"
"PRKDC","POU2F1","ATYPICAL"
"PRKAA1","POU2F1","CAMK"
"CAMK4","HNRNPL","CAMK"
"CDK10","ETS2","CMGC"
"CAMK2A","ETS2","CAMK"
"AKT2","BRAF","AGC"
"ADRBK1","EZR","AGC"
"AKT2","EZR","AGC"
"STK26","EZR","STE"
"VRK1","ATF2","CK1"
"PRKCE","ATF2","AGC"
"MAPK3","ATF2","CMGC"
"MAPK8","ATF2","CMGC"
"PRKCQ","FOSL1","AGC"
"CDK1","NME1","CMGC"
"MAPK11","TCF3","CMGC"
"MAP3K10","TCF3","TKL"
"ABL1","MUC1","TK"
"CAMK2A","CD44","CAMK"
"BAZ1B","H2AX","ATYPICAL"
"PRKCA","ITGB4","AGC"
"PRKACA","ITGB4","AGC"
"CSNK1A1","CREB1","CK1"
